"imageID","imageName","imageType","userID"
"d11dd27c-cb76-4664-833b-8103594a0106","橫假名あ","png","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d"
"1c5c1927-7242-48c7-a6c6-03cca6063190","橫假名い","png","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d"
"74ae7cfc-4461-4e9e-bc6c-526323a100d7","橫假名う","png","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d"
"ac8ea439-7c66-4819-914b-4c82bcb07317","橫假名え","png","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d"
"31df0bab-fcca-4481-82c1-8ca1ec9d6c98","橫假名お","png","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d"
"fda00a3f-ab41-4b54-8333-1fc110cd0553","橫假名か","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"add34413-f2ae-426f-a359-30e54e5864e9","橫假名き","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"d779adb2-f8d2-4b77-a6b9-1ee01895dedb","橫假名く","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"f4603df7-a9b0-4520-919f-8b7f1256c37a","橫假名け","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"edffbac7-8181-49cc-874e-23e490507e3d","橫假名こ","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"403074a6-1fc9-4b2e-b766-dc0dc0b3869d","ヘキサゴン","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"daba4696-1092-4118-aee0-079a061bcfc9","Yuraru1 a","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"a1cabb58-05a4-4a63-a3ab-4de05fc6f81b","Yuraru1 b","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"43c9eddd-0495-4008-87ea-1513b420546d","Yuraru1 c","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"85a52a78-5ba1-4ffb-856b-29cc2b85150e","Yuraru1 d","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"195a7da8-25f8-49c1-b8d4-9ba688232db1","Yuraru1 e","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"971e8f05-7883-4ce7-9d4d-0db6af36721a","Yuraru1 f","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"261a5fdc-7a1d-450f-8f7f-f26f0e30fb20","Yuraru1 r","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"bb9940f6-bb48-4856-9425-fcc08d2d68b3","Yuraru1 u","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"57f06396-e3bd-401d-96b8-d13c87dab0ee","Yuraru1 g","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"33570626-b508-4699-85ef-70485a60d3d2","Yuraru1 h","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"30da9c09-529d-49f0-bb12-8a067bb0416a","Yuraru1 i","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"399b24f5-35f1-4cf0-b3f6-f0655cad67b0","Yuraru1 j","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"e83b3a1b-a9a4-43da-a2bd-2d136fa92e35","Yuraru1 k","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"aafa0944-c367-4bbb-9ad5-2024570f1335","Yuraru1 l","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"4ed631ed-9100-412b-85e8-5c2d6f8006ee","Yuraru1 m","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"aa79dd0e-0986-4369-b4d6-71fcc3924042","Yuraru1 n","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
"adbfd47b-29e5-4509-857f-58a7bba680c9","Yuraru1 o","png","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d"
"41eba3b2-3b35-4af1-90c1-a600cb38ecf2","Yuraru1 p","png","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d"
"b95c4feb-588b-46b7-a40b-638eb25dce85","Yuraru1 q","png","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d"
"b7745e55-9327-428d-8e5f-04de36697f07","Yuraru1 y","png","63717b1c-476d-4c47-8794-4eee0a89bb82"
